id,geoname_id,extra,alternate_name,extra1,extra2,extra3,extra4,extra5,extra6
1614834,4391812,sv,Independence,,,,,,
1926040,4391812,de,Independence,,,,,,
1926041,4391812,ja,インディペンデンス,,,,,,
1926042,4391812,zh-CN,独立城,,,,,,
2002127,4391812,fr,Independence,,,,,,
2757190,4391812,post,64050,,,,,,
2757191,4391812,post,64051,,,,,,
2757192,4391812,post,64052,,,,,,
2757193,4391812,post,64053,,,,,,
2757194,4391812,post,64054,,,,,,
2757195,4391812,post,64055,,,,,,
2757196,4391812,post,64056,,,,,,
2757197,4391812,post,64057,,,,,,
2757198,4391812,post,64058,,,,,,
2997296,4391812,link,https://en.wikipedia.org/wiki/Independence%2C_Missouri,,,,,,
8212407,4391812,ko,인디펜던스,,,,,,
8212409,4391812,kk,Индэпенденс,,,,,,
2757065,4392163,post,63755,,,,,,
2997308,4392163,link,https://en.wikipedia.org/wiki/Jackson%2C_Missouri,,,,,,
3044471,4392163,ru,Джексон,,,,,,
9359518,4392163,ar,جاكسون,,,,,,
9359519,4392163,fa,جکسون، میزوری,,,,,,
9359521,4392163,ja,ジャクソン,,,,,,
9359523,4392163,kk,Джэксон,,,,,,
9359524,4392163,sr,Џексон,,,,,,
11375505,4392163,pa,ਜੈਕਸਨ,,,,,,
11375506,4392163,ur,جیکسن، مسوری,,,,,,
13809352,4392163,unlc,USJAA,,,,,,
14976838,4392163,wkdt,Q959843,,,,,,
8212410,4391812,fa,ایندیپندنس، میزوری,,,,,,
8212411,4391812,bg,Индипендънс,,,,,,
8212412,4391812,ru,Индепенденс,,,,,,
8212413,4391812,zh,独立城,,,,,,
8705427,4391812,lt,Independensas,,,,,,
8705428,4391812,sr,Индепенденс,,,,,,
11329749,4391812,he,אינדפנדנס,,,,,,
11329750,4391812,ky,Индэпенденс,,,,,,
8705610,4392388,el,Τζέφερσον Σίτι,,,,,,
8705611,4392388,new,जेफर्सन सिति,,,,,,
11331748,4392388,ky,Джэфферсон Сити,,,,,,
11331749,4392388,pi,जेफर्सन सिटी,,,,,,
11331750,4392388,sa,जेफर्सन्-नगरम्,,,,,,
11331751,4392388,ur,جیفرسن سٹی، مسوری,,,,,,
12314376,4392388,,Jefferson,,,,,,
12698269,4392388,,City of Jefferson,,,,,,
13809439,4392388,unlc,USJEF,,,,,,
14865236,4392388,wkdt,Q28180,,,,,,
1636703,4392388,es,Jefferson City,,,,,,
1636704,4392388,en,Jefferson City,1,,,,,
1636705,4392388,de,Jefferson City,,,,,,
1636706,4392388,pl,Jefferson City,,,,,,
1636707,4392388,da,Jefferson City,,,,,,
1636708,4392388,eo,Jeffersonurbo,,,,,,
1636709,4392388,eu,Jefferson City,,,,,,
1636710,4392388,fi,Jefferson City,,,,,,
1636711,4392388,fr,Jefferson City,,,,,,
1636712,4392388,io,Jefferson City,,,,,,
1636713,4392388,it,Jefferson City,,,,,,
1636714,4392388,ja,ジェファーソンシティ,,,,,,
1636715,4392388,ko,제퍼슨시티,,,,,,
1636716,4392388,mk,Џеферсон Сити,,,,,,
1636717,4392388,pt,Jefferson City,,,,,,
1636718,4392388,ru,Джефферсон-Сити,,,,,,
1636719,4392388,sv,Jefferson City,,,,,,
1901182,4392388,id,Kota Jefferson,,,,,,
1901183,4392388,nl,Jefferson City,,,,,,
1901184,4392388,no,Jefferson City,,,,,,
1901185,4392388,oc,Jefferson City,,,,,,
2757573,4392388,post,65101,,,,,,
2757574,4392388,post,65102,,,,,,
2757575,4392388,post,65103,,,,,,
2757576,4392388,post,65104,,,,,,
2757577,4392388,post,65105,,,,,,
2757578,4392388,post,65106,,,,,,
2757579,4392388,post,65107,,,,,,
2757580,4392388,post,65108,,,,,,
2757581,4392388,post,65109,,,,,,
2757582,4392388,post,65110,,,,,,
2757583,4392388,post,65111,,,,,,
2997316,4392388,link,https://en.wikipedia.org/wiki/Jefferson_City%2C_Missouri,,,,,,
